time;face_valid;mean;min;max
5056;1;59.7253;59.7253;59.7253
6067;1;59.7336;59.7253;59.7372
7078;1;59.734;59.7253;59.7372
8089;1;59.7336;59.7253;59.7372
9100;1;63.3177;47.7802;83.632
10112;1;82.0336;59.7253;83.632
11123;1;83.627;83.6154;83.632
